time,driver,place
00:00,VER,P1
00:31,NOR,P2
00:44,PER,P3
01:09,LEC,P4
01:45,SAI,P5
02:15,RUS,P6
02:30,ALO,P7
03:00,PIA,P8
03:29,HAM,P9
03:43,HUL,P10
04:10,OCO,P11
04:35,ALB,P12
04:51,GAS,P13
05:41,ZHO,P14
06:11,STR,P15
06:25,MAG,P16
06:36,SAR,P17
06:55,RIC,DNF
07:28,TSU,DNF
07:37,BOT,DNF
