time,driver,place
00:00,VER,P1
00:30,PER,P2
01:05,SAI,P3
01:33,LEC,P4
02:26,NOR,P5
02:48,ALO,P6
03:05,RUS,P7
03:40,PIA,P8
04:08,HAM,P9
04:38,TSU,P10
05:04,HUL,P11
05:24,STR,P12
05:41,MAG,P13
06:18,BOT,P14
06:43,OCO,P15
07:06,GAS,P16
07:33,SAR,P17
07:53,ZHO,DNF
08:20,RIC,DNF
09:28,ALB,DNF
