time,driver,place
00:00,NOR,P1
00:51,VER,P2
01:09,LEC,P3
01:42,SAI,P5
02:30,PER,P4
02:45,HAM,P6
03:36,TSU,P7
04:05,RUS,P8
04:27,ALO,P9
04:59,OCO,P10
05:34,HUL,P11
06:04,GAS,P12
06:29,PIA,P13
07:03,ZHO,P14
07:22,RIC,P15
08:06,BOT,P16
08:29,STR,P17
08:42,MAG,P19
09:04,ALB,P18
09:30,SAR,DNF
