time,driver,place
00:00,VER,P1
00:33,PER,P2
00:47,LEC,P3
01:13,PIA,P4
01:36,ALO,P5
02:02,RUS,P6
02:23,BEA,P7
02:56,NOR,P8
03:18,HAM,P9
03:40,HUL,P10
04:05,ALB,P11
04:22,MAG,P12
04:56,OCO,P13
05:21,SAR,P14
05:40,TSU,P15
06:07,RIC,P16
06:46,BOT,P17
07:07,ZHO,P18
07:31,STR,DNF
07:38,GAS,DNF
