time,driver,place
00:00,VER,P1
00:30,NOR,P2
00:59,LEC,P3
01:40,PIA,P4
02:15,SAI,P5
02:42,HAM,P6
03:02,RUS,P7
03:21,PER,P8
03:56,STR,P9
04:07,TSU,P10
04:25,HUL,P11
04:57,MAG,P12
05:19,RIC,P13
05:40,OCO,P14
06:10,ZHO,P15
06:36,GAS,P16
06:57,SAR,P17
07:39,BOT,P18
07:53,ALO,P19
08:20,ALB,DNF
