time,driver,place
00:00,SAI,1
00:41,LEC,2
01:06,NOR,3
01:26,PIA,4
01:50,PER,5
02:12,ALO,8
02:30,STR,6
02:35,TSU,7
02:55,HUL,9
03:27,MAG,10
03:57,ALB,11
04:19,RIC,12
05:10,GAS,13
05:37,BOT,14
05:57,ZHO,15
06:21,OCO,16
06:41,RUS,DNF
07:12,HAM,DNF
07:29,VER,DNF
